JEWETT FLD AP (MI),54822,,Lat: 42.5658,Lon: -84.4331,Elev: 922 ft,,,
Date,Hr,Min,Temp (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Visibility (mi)
03/07/2021,15,55,39,3,200,0*,4800*,10,
03/07/2021,16,35,39,0,0,0*,4800*,10,either
03/07/2021,16,55,39,0,0,0*,4800*,10,either
03/07/2021,17,15,38,0,0,0*,4800*,10,either
03/07/2021,17,35,38,0,0,0*,4800*,10,either
03/07/2021,17,55,38,0,0,0*,4800*,10,either
03/07/2021,18,15,37,0,0,0*,4800*,10,either
03/07/2021,18,35,36,0,0,0*,4800*,10,either
03/07/2021,18,55,35,0,0,0*,4800*,10,either
03/08/2021,06,35,37,5,200,0*,7000*,10,
03/08/2021,06,55,37,3,200,0*,7000*,10,
03/08/2021,07,15,37,5,200,0*,7000*,10,
03/08/2021,08,15,42,5,200,0*,7000*,10,
03/08/2021,08,55,44,6,190,0*,7000*,10,
03/09/2021,08,55,38,0,0,0*,7500*,7,either
03/09/2021,09,15,43,0,0,0*,7500*,10,either
03/11/2021,06,35,58,5,190,18*,3900,10,
03/13/2021,10,15,35,3,220,0*,3900*,10,
03/14/2021,12,15,46,13,20,17,3900*,10,
03/14/2021,12,35,46,11,20,17,3900*,10,
03/16/2021,11,55,40,0,0,0*,2100,10,either
03/16/2021,12,15,40,0,0,0*,2100,10,either
03/16/2021,12,55,42,0,0,0*,2100,10,either
03/16/2021,13,15,42,0,0,0*,2300,10,either
03/16/2021,13,55,43,0,0,0*,2500,10,either
03/16/2021,14,15,44,0,0,0*,2500,10,either
03/16/2021,14,35,46,0,0,0*,2500,10,either
03/17/2021,11,35,47,0,0,0*,2300*,10,either
03/17/2021,11,55,48,0,0,0*,2300*,10,either
03/17/2021,12,15,49,0,0,0*,2300*,10,either
03/17/2021,12,35,51,5,160,0*,2300*,10,
03/17/2021,13,55,56,7,190,0*,2300*,10,
03/17/2021,14,15,56,5,160,0*,2300*,10,
03/17/2021,14,55,57,5,220,0*,2300*,10,
03/17/2021,15,15,57,3,230,0*,2300*,10,
03/17/2021,15,55,58,0,0,0*,2300*,10,either
03/17/2021,16,15,58,3,210,0*,2300*,10,
03/17/2021,16,35,58,0,0,0*,2300*,10,either
03/17/2021,16,55,58,0,0,0*,2300*,10,either
03/17/2021,17,15,58,8,20,0*,2300*,10,
03/19/2021,10,55,37,13,40,16,3000*,10,
03/19/2021,17,15,47,0,0,17*,3000*,10,either
03/19/2021,18,55,42,0,0,17*,3000*,10,either
03/19/2021,19,15,42,0,0,17*,3000*,10,either
03/20/2021,09,35,39,5,160,0*,7220,10,
03/20/2021,11,35,48,5,160,16*,7220,10,
03/20/2021,13,15,53,5,150,16*,7220,10,
03/20/2021,15,55,56,3,210,16*,7220,10,
03/20/2021,16,15,56,5,190,16*,7220,10,
03/20/2021,17,15,56,3,210,16*,7220*,10,
03/21/2021,19,15,53,13,190,17*,7220*,10,
03/22/2021,06,35,37,0,0,16*,7220*,10,either
03/22/2021,06,55,38,0,0,16*,7220*,10,either
03/22/2021,07,15,39,0,0,16*,7220*,10,either
03/22/2021,07,35,41,0,0,16*,7220*,10,either
03/22/2021,07,55,43,0,0,16*,7220*,10,either
03/22/2021,18,35,63,3,170,20*,7000,10,
03/22/2021,18,55,62,0,0,20*,7000,10,either
03/22/2021,19,15,61,0,0,20*,7000,10,either
03/25/2021,07,15,43,3,180,18*,2000*,10,
03/25/2021,07,35,44,0,0,18*,2000*,10,either
03/25/2021,10,15,51,5,190,18*,2000,10,
03/25/2021,11,15,53,0,0,18*,2400*,10,either
03/25/2021,12,55,57,5,30,18*,2400*,10,
03/25/2021,13,35,59,5,210,18*,7220,10,
03/25/2021,13,55,59,3,10,18*,7220,10,
03/25/2021,14,55,59,0,0,18*,7220,10,either
03/25/2021,17,15,54,8,20,0*,11000,10,
03/29/2021,09,55,37,3,210,20*,3700*,10,
03/29/2021,10,35,39,0,0,20*,3700*,10,either
03/29/2021,12,15,43,3,190,17*,3700*,10,
04/02/2021,12,35,40,3,30,0*,5500*,10,
04/02/2021,14,35,43,0,0,0*,5500*,10,either
04/02/2021,15,35,44,5,220,0*,5500*,10,
04/02/2021,16,15,45,0,0,0,5500*,10,either
04/02/2021,16,35,45,0,0,0*,5500*,10,either
04/02/2021,16,55,45,0,0,0*,5500*,10,either
04/02/2021,17,35,44,5,210,0*,5500*,10,
04/02/2021,18,35,43,3,180,0*,5500*,10,
04/02/2021,18,55,43,0,0,0*,5500*,10,either
04/02/2021,19,15,41,0,0,0*,5500*,10,either
04/03/2021,07,55,37,8,190,0*,9500,10,
04/04/2021,07,35,37,0,0,0*,11000*,10,either
04/04/2021,07,55,40,0,0,0*,11000*,10,either
04/04/2021,08,15,44,0,0,0*,11000*,10,either
04/04/2021,11,15,58,5,50,0*,11000*,10,
04/04/2021,12,15,60,0,0,0*,11000*,10,either
04/04/2021,12,35,62,0,0,0*,11000*,10,either
04/04/2021,13,55,66,0,0,0*,11000*,10,either
04/04/2021,14,35,66,0,0,0*,11000*,10,either
04/04/2021,15,35,68,0,0,0*,11000*,10,either
04/04/2021,15,55,67,0,0,0*,11000*,10,either
04/04/2021,16,55,67,0,0,0*,11000*,10,either
04/04/2021,17,35,67,0,0,0*,11000*,10,either
04/04/2021,17,55,67,0,0,0*,11000*,10,either
04/05/2021,13,15,56,5,210,17*,7500,10,
04/05/2021,14,55,58,0,0,17*,7500,10,either
04/06/2021,05,55,43,5,150,17*,11000*,10,
04/06/2021,06,15,43,5,150,17*,11000*,10,
04/06/2021,09,15,61,5,220,17*,11000*,10,
04/06/2021,12,15,72,5,230,0*,6500*,10,
04/06/2021,18,55,74,0,0,16*,7500,10,either
04/06/2021,19,35,69,0,0,0,7500,10,either
04/07/2021,05,55,59,0,0,0*,10000,10,either
04/07/2021,06,15,57,0,0,0,7000,10,either
04/07/2021,06,35,57,0,0,0*,7000,10,either
04/07/2021,06,55,59,0,0,0*,10000,10,either
04/07/2021,07,15,58,0,0,0,7000,10,either
04/07/2021,07,35,59,0,0,0*,7000,10,either
04/07/2021,07,55,59,0,0,0*,8000,10,either
04/07/2021,08,15,61,0,0,0*,8000*,10,either
04/07/2021,08,35,64,0,0,0*,8000*,10,either
04/07/2021,08,55,65,5,150,0*,8000*,10,
04/07/2021,09,55,71,5,200,0*,8000*,10,
04/07/2021,10,35,74,9,190,0*,8000*,10,
04/07/2021,14,35,77,10,190,16,7000,10,
04/09/2021,19,35,64,3,10,20*,8000,10,
04/10/2021,05,35,43,0,0,0*,8000*,10,either
04/10/2021,06,15,46,0,0,0*,8000*,10,either
04/10/2021,06,35,45,5,160,0*,8000*,10,
04/10/2021,09,15,62,0,0,0*,12000,10,either
04/10/2021,09,35,64,0,0,0*,12000,10,either
04/11/2021,05,35,49,3,160,0*,2700,10,
04/11/2021,05,55,50,0,0,0*,2700,10,either
04/11/2021,06,15,51,5,160,0*,4200,10,
04/11/2021,06,35,51,3,150,0*,4200,10,
04/11/2021,06,55,51,3,160,0*,4400,10,
04/11/2021,07,15,51,3,150,0*,2500,10,
04/13/2021,05,35,36,0,0,18*,6000*,10,either
04/13/2021,05,55,37,0,0,18*,6000*,10,either
04/13/2021,06,15,37,5,160,18*,6000*,10,
04/13/2021,06,35,37,0,0,18*,6000*,10,either
04/13/2021,06,55,38,0,0,18*,6000*,10,either
04/13/2021,07,15,41,0,0,18*,6000*,10,either
04/13/2021,07,35,44,3,190,18*,6000*,10,
04/13/2021,07,55,46,3,160,18*,6000*,10,
04/13/2021,08,15,48,5,220,18*,6000*,10,
04/13/2021,09,15,53,5,210,18*,6000*,10,
04/14/2021,05,55,35,0,0,0*,5000*,10,either
04/14/2021,06,35,36,5,200,0*,6000,10,
04/14/2021,06,55,38,5,210,0*,6000,10,
04/14/2021,07,15,39,3,220,0*,6000,10,
04/14/2021,07,35,40,0,0,0*,6000,10,either
04/14/2021,07,55,40,3,190,0*,4700,10,
04/14/2021,08,15,42,0,0,0*,4900,10,either
04/14/2021,08,35,43,5,220,0*,6000,10,
04/17/2021,10,15,48,0,0,0*,2600,10,either
04/17/2021,10,35,49,0,0,0*,2600,10,either
04/17/2021,11,55,52,0,0,0*,3400,10,either
04/17/2021,13,55,57,5,20,0*,4900,10,
04/17/2021,18,55,54,0,0,16*,6500,10,either
04/17/2021,19,15,54,0,0,16*,6500,10,either
04/17/2021,19,35,53,0,0,16*,6500,10,either
04/18/2021,06,15,36,0,0,16*,5500,10,either
04/18/2021,06,35,36,0,0,16*,5500*,10,either
04/18/2021,06,55,38,0,0,16*,5500*,10,either
04/19/2021,05,35,46,5,160,16*,10000*,10,
04/19/2021,05,55,45,3,150,16*,10000*,10,
04/19/2021,06,15,45,0,0,16*,10000*,10,either
04/19/2021,06,35,45,5,150,16*,8500,10,
04/22/2021,19,55,41,0,0,0,7220,10,either
04/23/2021,18,15,58,5,230,17*,10000,10,
